timestamps population node_ids
82.40000000009746 hippocampus 9
84.50000000009734 hippocampus 9
87.1000000000972 hippocampus 9
93.50000000009683 hippocampus 9
135.50000000009655 hippocampus 9
162.30000000010264 hippocampus 9
164.40000000010312 hippocampus 9
167.0000000001037 hippocampus 9
172.60000000010498 hippocampus 9
210.80000000011367 hippocampus 9
242.1000000001208 hippocampus 9
244.20000000012126 hippocampus 9
246.90000000012188 hippocampus 9
252.40000000012313 hippocampus 9
290.2000000001317 hippocampus 9
327.6000000001402 hippocampus 9
376.8000000001514 hippocampus 9
82.50000000009746 hippocampus 11
84.60000000009734 hippocampus 11
87.50000000009717 hippocampus 11
95.00000000009675 hippocampus 11
137.70000000009705 hippocampus 11
162.40000000010266 hippocampus 11
164.50000000010314 hippocampus 11
167.20000000010376 hippocampus 11
173.70000000010523 hippocampus 11
212.7000000001141 hippocampus 11
242.2000000001208 hippocampus 11
244.3000000001213 hippocampus 11
247.10000000012192 hippocampus 11
253.30000000012333 hippocampus 11
292.0000000001321 hippocampus 11
330.6000000001409 hippocampus 11
82.60000000009745 hippocampus 14
84.80000000009733 hippocampus 14
88.10000000009714 hippocampus 14
118.30000000009542 hippocampus 14
161.80000000010253 hippocampus 14
164.20000000010307 hippocampus 14
167.30000000010378 hippocampus 14
179.40000000010653 hippocampus 14
220.2000000001158 hippocampus 14
242.6000000001209 hippocampus 14
244.90000000012142 hippocampus 14
248.20000000012217 hippocampus 14
268.40000000012674 hippocampus 14
308.2000000001358 hippocampus 14
356.40000000014675 hippocampus 14
82.60000000009745 hippocampus 15
84.80000000009733 hippocampus 15
88.20000000009713 hippocampus 15
151.80000000010025 hippocampus 15
163.4000000001029 hippocampus 15
165.80000000010344 hippocampus 15
170.10000000010442 hippocampus 15
213.80000000011435 hippocampus 15
242.40000000012085 hippocampus 15
244.8000000001214 hippocampus 15
247.9000000001221 hippocampus 15
325.5000000001397 hippocampus 15
83.00000000009743 hippocampus 17
85.60000000009728 hippocampus 17
92.00000000009692 hippocampus 17
162.80000000010276 hippocampus 17
165.50000000010337 hippocampus 17
171.4000000001047 hippocampus 17
242.90000000012097 hippocampus 17
245.60000000012158 hippocampus 17
251.70000000012297 hippocampus 17
313.80000000013706 hippocampus 17
82.30000000009747 hippocampus 20
84.30000000009736 hippocampus 20
86.70000000009722 hippocampus 20
91.30000000009696 hippocampus 20
131.20000000009557 hippocampus 20
162.00000000010257 hippocampus 20
164.10000000010305 hippocampus 20
166.60000000010362 hippocampus 20
170.9000000001046 hippocampus 20
206.40000000011267 hippocampus 20
241.20000000012058 hippocampus 20
243.60000000012113 hippocampus 20
245.90000000012165 hippocampus 20
250.1000000001226 hippocampus 20
285.20000000013056 hippocampus 20
320.2000000001385 hippocampus 20
360.90000000014777 hippocampus 20
82.40000000009746 hippocampus 23
84.60000000009734 hippocampus 23
87.30000000009719 hippocampus 23
93.90000000009681 hippocampus 23
136.00000000009666 hippocampus 23
162.30000000010264 hippocampus 23
164.40000000010312 hippocampus 23
167.0000000001037 hippocampus 23
172.700000000105 hippocampus 23
211.10000000011374 hippocampus 23
242.1000000001208 hippocampus 23
244.20000000012126 hippocampus 23
246.90000000012188 hippocampus 23
252.40000000012313 hippocampus 23
290.50000000013176 hippocampus 23
328.1000000001403 hippocampus 23
378.6000000001518 hippocampus 23
82.30000000009747 hippocampus 25
84.30000000009736 hippocampus 25
86.70000000009722 hippocampus 25
91.30000000009696 hippocampus 25
