timestamps population node_ids
82.80000000009744 hippocampus 1
85.2000000000973 hippocampus 1
89.30000000009707 hippocampus 1
162.6000000001027 hippocampus 1
165.10000000010328 hippocampus 1
169.30000000010423 hippocampus 1
220.90000000011597 hippocampus 1
242.90000000012097 hippocampus 1
245.3000000001215 hippocampus 1
249.40000000012245 hippocampus 1
299.4000000001338 hippocampus 1
83.00000000009743 hippocampus 2
85.80000000009727 hippocampus 2
93.70000000009682 hippocampus 2
162.90000000010278 hippocampus 2
165.6000000001034 hippocampus 2
172.00000000010485 hippocampus 2
242.90000000012097 hippocampus 2
245.7000000001216 hippocampus 2
252.90000000012324 hippocampus 2
82.50000000009746 hippocampus 3
84.80000000009733 hippocampus 3
87.80000000009716 hippocampus 3
98.50000000009655 hippocampus 3
142.10000000009805 hippocampus 3
162.6000000001027 hippocampus 3
164.90000000010323 hippocampus 3
167.90000000010392 hippocampus 3
178.30000000010628 hippocampus 3
218.10000000011533 hippocampus 3
242.50000000012088 hippocampus 3
244.70000000012138 hippocampus 3
247.60000000012204 hippocampus 3
256.300000000124 hippocampus 3
296.000000000133 hippocampus 3
337.00000000014234 hippocampus 3
82.30000000009747 hippocampus 7
84.30000000009736 hippocampus 7
86.70000000009722 hippocampus 7
91.10000000009697 hippocampus 7
130.60000000009543 hippocampus 7
162.00000000010257 hippocampus 7
164.00000000010303 hippocampus 7
166.40000000010357 hippocampus 7
170.60000000010453 hippocampus 7
205.40000000011244 hippocampus 7
240.30000000012038 hippocampus 7
243.100000000121 hippocampus 7
245.50000000012156 hippocampus 7
249.2000000001224 hippocampus 7
268.2000000001267 hippocampus 7
302.70000000013454 hippocampus 7
339.1000000001428 hippocampus 7
385.90000000015345 hippocampus 7
82.90000000009744 hippocampus 8
85.4000000000973 hippocampus 8
90.70000000009699 hippocampus 8
162.70000000010273 hippocampus 8
165.30000000010332 hippocampus 8
170.30000000010446 hippocampus 8
227.40000000011744 hippocampus 8
243.40000000012108 hippocampus 8
246.1000000001217 hippocampus 8
252.3000000001231 hippocampus 8
304.10000000013486 hippocampus 8
82.20000000009748 hippocampus 12
84.30000000009736 hippocampus 12
86.60000000009722 hippocampus 12
90.600000000097 hippocampus 12
130.10000000009532 hippocampus 12
161.90000000010255 hippocampus 12
163.900000000103 hippocampus 12
166.20000000010353 hippocampus 12
170.0000000001044 hippocampus 12
192.70000000010955 hippocampus 12
226.40000000011722 hippocampus 12
242.40000000012085 hippocampus 12
244.4000000001213 hippocampus 12
246.80000000012186 hippocampus 12
251.0000000001228 hippocampus 12
283.6000000001302 hippocampus 12
317.1000000001378 hippocampus 12
354.9000000001464 hippocampus 12
82.30000000009747 hippocampus 18
84.30000000009736 hippocampus 18
86.70000000009722 hippocampus 18
91.30000000009696 hippocampus 18
131.10000000009555 hippocampus 18
162.00000000010257 hippocampus 18
164.10000000010305 hippocampus 18
166.60000000010362 hippocampus 18
170.9000000001046 hippocampus 18
206.40000000011267 hippocampus 18
241.20000000012058 hippocampus 18
243.5000000001211 hippocampus 18
245.80000000012163 hippocampus 18
249.90000000012256 hippocampus 18
284.9000000001305 hippocampus 18
319.90000000013845 hippocampus 18
360.5000000001477 hippocampus 18
82.30000000009747 hippocampus 21
84.30000000009736 hippocampus 21
86.60000000009722 hippocampus 21
90.80000000009699 hippocampus 21
130.20000000009534 hippocampus 21
161.90000000010255 hippocampus 21
164.00000000010303 hippocampus 21
166.40000000010357 hippocampus 21
170.30000000010446 hippocampus 21
204.10000000011215 hippocampus 21
238.50000000011997 hippocampus 21
243.000000000121 hippocampus 21
245.3000000001215 hippocampus 21
248.7000000001223 hippocampus 21
259.1000000001246 hippocampus 21
294.1000000001326 hippocampus 21
329.0000000001405 hippocampus 21
370.70000000015 hippocampus 21
82.50000000009746 hippocampus 26
84.60000000009734 hippocampus 26
87.50000000009717 hippocampus 26
95.00000000009675 hippocampus 26
137.9000000000971 hippocampus 26
162.40000000010266 hippocampus 26
164.60000000010317 hippocampus 26
167.50000000010382 hippocampus 26
174.60000000010544 hippocampus 26
213.6000000001143 hippocampus 26
242.2000000001208 hippocampus 26
244.4000000001213 hippocampus 26
247.20000000012195 hippocampus 26
253.6000000001234 hippocampus 26
292.4000000001322 hippocampus 26
331.100000000141 hippocampus 26
82.80000000009744 hippocampus 27
85.4000000000973 hippocampus 27
90.00000000009703 hippocampus 27
162.70000000010273 hippocampus 27
165.2000000001033 hippocampus 27
169.50000000010428 hippocampus 27
223.80000000011663 hippocampus 27
243.100000000121 hippocampus 27
245.50000000012156 hippocampus 27
250.40000000012267 hippocampus 27
301.2000000001342 hippocampus 27
270.8000000001273 hippocampus 35
293.8000000001325 hippocampus 35
275.2000000001283 hippocampus 40
276.90000000012867 hippocampus 43
295.4000000001329 hippocampus 43
442.70000000016637 hippocampus 53
456.9000000001696 hippocampus 53
274.4000000001281 hippocampus 57
285.4000000001306 hippocampus 57
137.20000000009694 hippocampus 58
150.3000000000999 hippocampus 58
260.60000000012496 hippocampus 58
271.3000000001274 hippocampus 58
